"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Cursed City","-","-","-","-","-","Cursed Enchanter","Aleth Essence",0.8125,80
"Cursed City","-","-","-","-","-","Cursed Engineer","Aleth Essence",0.65,80
"Cursed City","-","-","-","-","-","Cursed Librarian","Dol Essence",0.3114754098360656,61
"Cursed City","-","-","-","-","-","Cursed Librarian","Cynd Essence",0.21311475409836064,61
"Cursed City","-","-","-","-","-","Cursed Librarian","Est Essence",0.11475409836065574,61
"Cursed City","-","-","-","-","-","Cursed Thief","Cynd Essence",0.6111111111111112,72
"Cursed City","-","-","-","-","-","Dark Magi","Ancient Relic",1,4
"Cursed City","-","-","-","-","-","Essence Guardian","Cynd Essence",1,54
