"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Bazaar","-","-","-","-","-","Black Widow","SUPER|brie+",5.192660550458716,109
"Bazaar","-","-","-","-","-","Black Widow","Ancient Relic",0.5688073394495413,109
"Bazaar","-","-","-","-","-","Burglar","Brie Cheese",10.449718583453704,20077
"Bazaar","-","-","-","-","-","Burglar","Flawless Orb",0.9029735518254719,20077
"Bazaar","-","-","-","-","-","Burglar","Gilded Cheese",2.771778652189072,20077
"Bazaar","-","-","-","-","-","Master Burglar","Flawless Orb",0.9106271974594533,17634
"Bazaar","-","-","-","-","-","Master Burglar","Brie Cheese",10.00124758988318,17634
"Bazaar","-","-","-","-","-","Nibbler","Ancient Relic",0.20591233435270132,981
