"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Prickly Plains","-","Bland Queso","-","60.40%","Spice Seer",670176
"Prickly Plains","-","Bland Queso","-","39.60%","Old Spice Collector",670176
"Prickly Plains","-","Mild Queso","-","50.45%","Spice Farmer",493227
"Prickly Plains","-","Mild Queso","-","49.55%","Granny Spice",493227
"Prickly Plains","-","Medium Queso","-","56.30%","Spice Finder",326561
"Prickly Plains","-","Medium Queso","-","43.70%","Spice Sovereign",326561
"Prickly Plains","-","Hot Queso","-","59.38%","Spice Reaper",226253
"Prickly Plains","-","Hot Queso","-","40.62%","Spice Raider",226253
"Prickly Plains","-","Flamin' Queso","-","100.00%","Inferna the Engulfed",169237
