"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","On Bounty","SB+","-","3.38%","White",7634
"Harbour","On Bounty","SB+","-","2.86%","Grey",7634
"Harbour","On Bounty","SB+","-","2.76%","Brown",7634
"Harbour","On Bounty","SB+","-","2.21%","Magic",7634
"Harbour","On Bounty","SB+","-","2.02%","Fog",7634
"Harbour","On Bounty","SB+","-","2.00%","Steel",7634
"Harbour","On Bounty","SB+","-","1.99%","Pugilist",7634
"Harbour","On Bounty","SB+","-","1.94%","Scruffy",7634
"Harbour","On Bounty","SB+","-","1.89%","Bionic",7634
"Harbour","On Bounty","SB+","-","1.87%","Granite",7634
"Harbour","On Bounty","SB+","-","1.68%","Dwarf",7634
"Harbour","On Bounty","SB+","-","1.62%","Silvertail",7634
"Harbour","On Bounty","SB+","-","1.31%","Gold",7634
"Harbour","On Bounty","SB+","-","1.14%","Diamond",7634
"Harbour","On Bounty","SB+","-","0.45%","Black Widow",7634
"Harbour","On Bounty","Gouda","-","10.88%","Corrupt Commodore",4695
"Harbour","On Bounty","Gouda","-","10.86%","Bilged Boatswain",4695
"Harbour","On Bounty","Gouda","-","10.69%","Cabin Boy",4695
"Harbour","On Bounty","Gouda","-","10.42%","Barmy Gunner",4695
"Harbour","On Bounty","Gouda","-","10.37%","Dashing Buccaneer",4695
"Harbour","On Bounty","Gouda","-","9.73%","Pirate",4695
"Harbour","On Bounty","Gouda","-","4.35%","Scruffy",4695
"Harbour","On Bounty","Gouda","-","4.35%","Dwarf",4695
"Harbour","On Bounty","Gouda","-","3.43%","Granite",4695
"Harbour","On Bounty","Gouda","-","3.39%","Spotted",4695
"Harbour","On Bounty","Gouda","-","3.09%","White",4695
"Harbour","On Bounty","Gouda","-","3.00%","Pugilist",4695
"Harbour","On Bounty","Gouda","-","2.98%","Steel",4695
"Harbour","On Bounty","Gouda","-","2.98%","Brown",4695
"Harbour","On Bounty","Gouda","-","2.49%","Grey",4695
"Harbour","On Bounty","Gouda","-","2.41%","Diamond",4695
"Harbour","On Bounty","Gouda","-","2.41%","Bionic",4695
"Harbour","On Bounty","Gouda","-","2.17%","Gold",4695
"Harbour","On Bounty","Brie","-","11.15%","Bilged Boatswain",5885
"Harbour","On Bounty","Brie","-","10.96%","Corrupt Commodore",5885
"Harbour","On Bounty","Brie","-","10.93%","Dashing Buccaneer",5885
"Harbour","On Bounty","Brie","-","10.47%","Cabin Boy",5885
"Harbour","On Bounty","Brie","-","10.08%","Barmy Gunner",5885
"Harbour","On Bounty","Brie","-","9.06%","Pirate",5885
"Harbour","On Bounty","Brie","-","4.33%","Dwarf",5885
"Harbour","On Bounty","Brie","-","4.25%","Burglar",5885
