"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","17.05%","Fete Fromager",127906
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","11.80%","El Flamenco",127906
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","-","24.36%","Breakdancer",15460
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","-","23.95%","Para Para Dancer",15460
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","-","20.89%","Dance Party",15460
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","-","19.09%","Fete Fromager",15460
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","-","11.71%","El Flamenco",15460
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","21.04%","Breakdancer",40750
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","21.03%","Para Para Dancer",40750
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","19.95%","Factory Technician",40750
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","19.20%","Dance Party",40750
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","10.05%","Fete Fromager",40750
"SUPER|brie+ Factory","Break Room","Coggy Colby","Factory Repair Charm","8.74%","El Flamenco",40750
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","19.90%","Breakdancer",22326
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","19.82%","Factory Technician",22326
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","18.92%","Para Para Dancer",22326
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","16.78%","Dance Party",22326
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","14.90%","Fete Fromager",22326
"SUPER|brie+ Factory","Break Room","Speedy Coggy Colby","Factory Repair Charm","9.69%","El Flamenco",22326
"SUPER|brie+ Factory","QA Room","Coggy Colby","-","21.21%","Cupcake Runner",132688
"SUPER|brie+ Factory","QA Room","Coggy Colby","-","20.11%","Cupcake Camo",132688
"SUPER|brie+ Factory","QA Room","Coggy Colby","-","19.97%","Cupcake Cutie",132688
"SUPER|brie+ Factory","QA Room","Coggy Colby","-","19.92%","Cupcake Candle Thief",132688
"SUPER|brie+ Factory","QA Room","Coggy Colby","-","18.79%","Sprinkly Sweet Cupcake Cook",132688
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","-","20.39%","Cupcake Runner",15363
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","-","20.21%","Cupcake Candle Thief",15363
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","-","20.18%","Cupcake Cutie",15363
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","-","19.85%","Cupcake Camo",15363
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","-","19.36%","Sprinkly Sweet Cupcake Cook",15363
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","20.57%","Factory Technician",39305
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","17.34%","Cupcake Runner",39305
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","16.66%","Cupcake Cutie",39305
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","16.52%","Cupcake Camo",39305
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","16.18%","Cupcake Candle Thief",39305
"SUPER|brie+ Factory","QA Room","Coggy Colby","Factory Repair Charm","12.73%","Sprinkly Sweet Cupcake Cook",39305
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","19.87%","Factory Technician",22149
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","16.71%","Cupcake Runner",22149
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","16.02%","Cupcake Camo",22149
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","15.83%","Cupcake Candle Thief",22149
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","15.81%","Sprinkly Sweet Cupcake Cook",22149
"SUPER|brie+ Factory","QA Room","Speedy Coggy Colby","Factory Repair Charm","15.75%","Cupcake Cutie",22149
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","29.60%","Dinosuit",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","24.85%","Birthday",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","21.88%","Terrible Twos",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","6.02%","Present",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","5.97%","Pintail",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","5.85%","Buckethead",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","-","5.83%","Sleepwalker",84882
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","23.50%","Dinosuit",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","20.56%","Factory Technician",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","19.50%","Birthday",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","17.73%","Terrible Twos",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","4.81%","Present",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","4.74%","Buckethead",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","4.63%","Sleepwalker",23480
"SUPER|brie+ Factory","Any Room","Cheddar/Marble/Swiss/Brie/Gouda","Factory Repair Charm","4.53%","Pintail",23480
"SUPER|brie+ Factory","Any Room","SB+","-","16.54%","Dinosuit",84950
"SUPER|brie+ Factory","Any Room","SB+","-","14.91%","Birthday",84950
"SUPER|brie+ Factory","Any Room","SB+","-","14.84%","Cheesy Party",84950
"SUPER|brie+ Factory","Any Room","SB+","-","12.10%","Terrible Twos",84950
"SUPER|brie+ Factory","Any Room","SB+","-","11.98%","Pintail",84950
"SUPER|brie+ Factory","Any Room","SB+","-","11.91%","Buckethead",84950
"SUPER|brie+ Factory","Any Room","SB+","-","11.74%","Sleepwalker",84950
"SUPER|brie+ Factory","Any Room","SB+","-","5.97%","Present",84950
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","20.34%","Factory Technician",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","13.42%","Dinosuit",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","11.85%","Birthday",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","11.85%","Cheesy Party",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","9.56%","Terrible Twos",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","9.50%","Pintail",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","9.41%","Sleepwalker",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","9.37%","Buckethead",61771
"SUPER|brie+ Factory","Any Room","SB+","Factory Repair Charm","4.69%","Present",61771
"SUPER|brie+ Factory","Boss","Cheddar/Marble/Swiss/Brie/Gouda/SB+/Coggy Colby/Speedy Coggy Colby","-","100%","Vincent the Magnificent",1
