"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Golem Workshop","-","Glazed Pecan Pecorino","-","10.09%","Destructoy",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","9.81%","Ridiculous Sweater",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","8.18%","Elf",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","7.79%","Present",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","7.51%","Christmas Tree",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","6.11%","Joy",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","5.60%","Stuck Snowball",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","5.53%","Toy Tinkerer",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","4.88%","Snowflake",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","4.86%","Snow Golem Architect",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","4.18%","Glazy",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","4.14%","Stocking",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","4.00%","Ornament",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","3.97%","Nutcracker",4302
"Golem Workshop","-","Glazed Pecan Pecorino","-","1.51%","Mad Elf",4302
"Ice Fortress","-","Gouda","-","22.05%","Hoarder",993
"Ice Fortress","-","Gouda","-","19.74%","Snowglobe",993
"Ice Fortress","-","Gouda","-","15.61%","Snowblower",993
"Ice Fortress","-","Gouda","-","13.49%","Missile Toe",993
"Ice Fortress","-","Gouda","-","12.08%","Frigid Foreman",993
"Ice Fortress","-","Gouda","-","9.47%","Confused Courier",993
"Ice Fortress","-","Gouda","-","7.55%","Miser",993
"Ice Fortress","-","SB+","-","25.43%","Hoarder",1117
"Ice Fortress","-","SB+","-","15.22%","Missile Toe",1117
"Ice Fortress","-","SB+","-","14.95%","Miser",1117
"Ice Fortress","-","SB+","-","13.88%","Confused Courier",1117
"Ice Fortress","-","SB+","-","10.74%","Snowglobe",1117
"Ice Fortress","-","SB+","-","10.03%","Frigid Foreman",1117
"Ice Fortress","-","SB+","-","9.76%","Snowblower",1117
"Ice Fortress","-","Pecan Pecorino","-","18.87%","Reinbo",3546
"Ice Fortress","-","Pecan Pecorino","-","10.60%","Snow Fort",3546
"Ice Fortress","-","Pecan Pecorino","-","9.31%","Glacia Ice Fist",3546
"Ice Fortress","-","Pecan Pecorino","-","8.26%","Slay Ride",3546
"Ice Fortress","-","Pecan Pecorino","-","6.88%","Builder",3546
"Ice Fortress","-","Pecan Pecorino","-","6.82%","Great Winter Hunt Impostor",3546
"Ice Fortress","-","Pecan Pecorino","-","6.43%","Snow Sorceress",3546
"Ice Fortress","-","Pecan Pecorino","-","6.35%","Borean Commander",3546
"Ice Fortress","-","Pecan Pecorino","-","4.60%","Stuck Snowball",3546
"Ice Fortress","-","Pecan Pecorino","-","4.40%","Squeaker Claws",3546
"Ice Fortress","-","Pecan Pecorino","-","4.31%","S.N.O.W. Golem",3546
"Ice Fortress","-","Pecan Pecorino","-","4.17%","Iceberg Sculptor",3546
"Ice Fortress","-","Pecan Pecorino","-","3.92%","Naughty Nougat",3546
"Ice Fortress","-","Pecan Pecorino","-","2.90%","Snowflake",3546
"Ice Fortress","-","Pecan Pecorino","-","2.17%","Tundra Huntress",3546
"Ice Fortress","-","Glazed Pecan Pecorino","-","14.21%","Great Winter Hunt Impostor",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","9.92%","Snow Fort",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","9.65%","Slay Ride",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","7.90%","Borean Commander",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","7.62%","Snow Sorceress",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","6.18%","Joy",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","6.08%","Glacia Ice Fist",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","5.77%","Stuck Snowball",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","5.36%","Glazy",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","4.81%","Snowflake",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","4.81%","S.N.O.W. Golem",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","4.63%","Reinbo",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","4.43%","Naughty Nougat",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","3.43%","Squeaker Claws",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","3.33%","Iceberg Sculptor",2913
"Ice Fortress","-","Glazed Pecan Pecorino","-","1.89%","Tundra Huntress",2913
"Ice Fortress","Boss","SB+","-","100.00%","Frost King",1
