"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","6.79%","Toxic Warrior",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","6.07%","Mutant Ninja",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","5.89%","Tentacle",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","5.79%","Scrap Metal Monster",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","4.83%","The Menace",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","4.79%","Slimefist",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","4.76%","Sludge Swimmer",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","4.69%","Outbreak Assassin",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","4.38%","Mutant Mongrel",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","1.69%","Sludge",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","1.48%","Mutated Siblings",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","1.21%","Bog Beast",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","1.21%","Gelatinous Octahedron",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","1.17%","Swamp Runner",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","0.97%","Monster Tail",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","0.97%","Spore",2901
"Toxic Spill","Lord/Lady","Magical Rancid Radioactive Blue","-","0.07%","Glitchpaw",2901
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","27.25%","Plague Hag",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","25.49%","Sludge Soaker",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","20.96%","Gelatinous Octahedron",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","6.05%","Scrap Metal Monster",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","6.04%","Monster Tail",8596
